address,lat,lon
"25432 S Schulte Rd Tracy, CA 95377",,
"2401 Mission St San Francisco, CA 94110",37.758516,-122.418938
"2043 Jackson Ave Escalon, CA 95320",37.7941649,-120.9883632
"902 Waterloo Rd Stockton, CA 95205",37.9652755,-121.2739227
"1989 Peabody Rd Vacaville, CA 95687",38.3358328,-121.9688617
"743 E Monte Vista Ave Vacaville, CA 95688",38.3592176,-121.9836812
"348 Merchant St Vacaville, CA 95688",38.3560162,-121.9891756
"2572 21st Street Sacramento, CA 95818",38.5587082,-121.4862738
"894 Folsom St San Francisco, CA 94107",37.7806387,-122.4033448
"2000 De La Vina St Santa Barbara, CA 93105",34.428854,-119.716995
"2015 Lafayette St Santa Clara, CA 95050",37.3607527,-121.9480407
"47-55 Page St San Francisco, CA 94102",37.7741985,-122.4216047
"1600 E Belmont Ave Fresno, CA 93701",36.7547145,-119.622174
"1931 P St Sacramento, CA 95811",38.5702283,-121.4830918
"913 K St Sacramento, CA 95811",38.579467,-121.4946009
"1711 Fulton St Fresno, CA 93721",36.7409616,-119.7980274
"465 Stony Point Rd Santa Rosa, CA 95401",38.4335119,-122.7437894
"1800 3rd St Sacramento, CA 95811",38.573862,-121.506724
"2901 Sunrise Blvd Rancho Cordova, CA 95742",38.5856217,-121.2654437
"2550 El Camino Real Redwood City, CA 94061",37.473163,-122.2176563
"1464 El Camino Real Belmont, CA 94002",37.5165332,-122.2716889
"38 W Victoria St Santa Barbara, CA 93101",34.4236277,-119.7072062
"5363 Camden Ave San Jose, CA 95124",37.241168,-121.90521
"5333 Adeline St Oakland, CA 94608",37.8382075,-122.2758659
"703 I St Los Banos, CA 93635",37.0599105,-120.8464577
"3318 Santa Fe St Riverbank, CA 95367",37.7359334,-120.9353088
"1700 Niles St Bakersfield, CA 93305",35.3836546,-118.9963446
"1271 - 1301 Commerce Avenue Atwater, CA 95301",,
"8877 Katella Ave Anaheim, CA 92804",33.8032367,-117.9592326
"705 W Capitol Expy San Jose, CA 95136",37.2752027,-121.8646597
"4188 E Dakota Ave Fresno, CA 93726",36.786788,-119.7546734
"1501 N Norma St Ridgecrest, CA 93555",35.6490465,-117.678625
"1500-1512 Sunnyvale Ave Walnut Creek, CA 94597",37.9287088,-122.0676847
"2050 Concourse Dr San Jose, CA 95131",37.3960804,-121.8902762
"1568 E Champlain Dr Fresno, CA 93720",36.8669532,-119.7549044
"10885 Los Alamitos Blvd Los Alamitos, CA 90720",33.8027622,-118.071665
"209-345 Town Center West Santa Maria, CA 93458",,
"1281 E La Habra Blvd La Habra, CA 90631",,
"1528 E Champlain Dr Fresno, CA 93720",36.8669552,-119.7555815
"738 State St Santa Barbara, CA 93101",34.419544,-119.699083
"614 Academy Ave Sanger, CA 93657",36.7075841,-119.5560603
"2353 E 12th St Oakland, CA 94601",37.7817676,-122.236239
"2300 E 4th St Long Beach, CA 90814",33.771612,-118.164219
"822 Kansas Ave Modesto, CA 95351",37.6458981,-121.0190878
"1000 E Copper Ave Fresno, CA 93730",36.8961592,-119.7653801
"19239 & 19241 Ventura Blvd Los Angeles, CA 91356",,
"4307 - 4419 Elkhorn Blvd Sacramento, CA 95842",,
"2851 Highland Ave Selma, CA 93662",36.5755732,-119.6299236
"6211 Franklin Ave Los Angeles, CA 90028",34.1053234,-118.3242285
"4885 Truxtun Ave Bakersfield, CA 93309",35.3714137,-119.0563537
"5080 California Ave Bakersfield, CA 93309",35.363476,-119.0578593
"3426 N Dinuba Blvd Visalia, CA 93291",36.3608497,-119.2972234
"825 Pacific Ave Santa Cruz, CA 95060",36.970124,-122.0252386
"555 Soquel Ave Santa Cruz, CA 95062",36.9760533,-122.0172502
"8499 Old Redwood Hwy Windsor, CA 95492",38.5434448,-122.8017952
"2667 Tapo Canyon Rd Simi Valley, CA 93063",34.2837864,-118.719133
"45 Rincon Dr Camarillo, CA 93012",,
"3310 Truxtun Ave Bakersfield, CA 93301",35.3737221,-119.0391598
"19200 Ventura Blvd Los Angeles, CA 91356",34.172515,-118.551362
"7600 N Palm Ave Fresno, CA 93711",36.847529,-119.807779
"260 S Raymond Ave Pasadena, CA 91105",34.1413327,-118.1485693
"774 N Virgil Ave Los Angeles, CA 90029",34.0852533,-118.286747
"5600 E 7th St Long Beach, CA 90814",33.775236,-118.122941
"215 W 9th St Los Angeles, CA 90015",34.0428449,-118.2566917
"3711 Arlington Ave Riverside, CA 92506",33.9463356,-117.3973598
"221 E 12th St Los Angeles, CA 90015",34.0368188,-118.2579945
"625 E Artesia Blvd Long Beach, CA 90805",33.8744714,-118.185725
"5911 Temple City Blvd Temple City, CA 91780",34.1069497,-118.0610549
"8101 Long Beach Blvd South Gate, CA 90280",33.96491,-118.225294
"5929 W Sunset Blvd Los Angeles, CA 90028",34.0981276,-118.3183353
"8226 W 3rd St Los Angeles, CA 90048",34.0724904,-118.3691914
"800 S Alvarado St Los Angeles, CA 90057",34.054732,-118.277805
"4334 W Sunset Blvd Los Angeles, CA 90029",34.0952352,-118.2837487
"222 E 10th St Long Beach, CA 90813",33.778887,-118.1902426
"2030 W 8th St Los Angeles, CA 90057",34.0545828,-118.2778389
"2115 - 2129 N. Bellflower Blvd Long Beach, CA 90815",,
"17320 Ventura Blvd Los Angeles, CA 91316",34.1603617,-118.5108446
"5404 S Western Ave Los Angeles, CA 90062",33.9931055,-118.3088301
